,brand_id,Brand
1148,1149,藍罐1963
1149,1150,藍鑽石
1150,1151,蘇格登
1151,1152,蘇聯
1152,1153,蘭特
1153,1154,蘭絲
1154,1155,蜜思
1155,1156,蜜桃紅
1156,1157,蝴蝶牌
1157,1158,蝶矢
1158,1159,螺霸王
1159,1160,袋鼠牌
1160,1161,裕倡
1161,1162,西班牙帝國田園
1162,1163,西班牙桃樂丝
1163,1164,西班牙菲斯奈特
1164,1165,西瑞斯
1165,1166,角落小夥伴
1166,1167,貴州
1167,1168,貴族米
1168,1169,費列羅
1169,1170,超值牌
1170,1171,超力
1171,1172,趣多多
1172,1173,車仔
1173,1174,軒尼詩
1174,1175,辣椒仔
1175,1176,農夫
1176,1177,農心
1177,1178,農活
1178,1179,迎樂
1179,1180,迪士尼
1180,1181,迪爾瑪
1181,1182,過海製麵所曾拌麵
1182,1183,道地
1183,1184,達樂美
1184,1185,達維他
1185,1186,邦比
1186,1187,里郎斯
1187,1188,金冠牌
1188,1189,金妹
1189,1190,金妹牌
1190,1191,金威
1191,1192,金寶
1192,1193,金崙堡
1193,1194,金廚
1194,1195,金御膳
1195,1196,金必氏
1196,1197,金星牌
1197,1198,金晶瑩
1198,1199,金永泰
1199,1200,金滿泰
1200,1201,金滿鈁
1201,1202,金燕牌
1202,1203,金田禾
1203,1204,金舫牌
1204,1205,金蘭
1205,1206,金豐穰
1206,1207,金象牌
1207,1208,金飛馬
1208,1209,金飯碗
1209,1210,金香牌
1210,1211,金鳳牌
1211,1212,金鴨
1212,1213,金鷹
1213,1214,金麥牌
1214,1215,金鼎
1215,1216,金鼎牌
1216,1217,金龍牌
1217,1218,金龜嘜
1218,1219,銀寶
1219,1220,銘店之品豚王
